,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
cpu_high,6.0,1.52,0.0,0.0,390.0,98.48
cpu_low,4.0,1.01,0.0,0.0,392.0,98.99
io_low,6.0,1.52,0.0,0.0,390.0,98.48
cpu_medium,3.0,0.76,0.0,0.0,393.0,99.24
io_high,10.0,2.53,0.0,0.0,386.0,97.47
netdelay_high,2.0,0.51,1.0,0.25,393.0,99.24
io_medium,6.0,1.52,0.0,0.0,390.0,98.48
netbandwidth_low,2.0,0.51,0.0,0.0,394.0,99.49
netbandwidth_high,1.0,0.25,0.0,0.0,395.0,99.75
netbandwidth_medium,2.0,0.51,0.0,0.0,394.0,99.49
netdelay_low,2.0,0.51,0.0,0.0,394.0,99.49
netdelay_medium,1.0,0.25,1.0,0.25,394.0,99.49
ram_high,3.0,0.76,0.0,0.0,393.0,99.24
netpgk_low,1.0,0.25,1.0,0.25,394.0,99.49
netpgk_high,3.0,0.76,0.0,0.0,393.0,99.24
ram_medium,5.0,1.26,0.0,0.0,391.0,98.74
ram_low,7.0,1.77,0.0,0.0,389.0,98.23
netpgk_medium,0.0,0.0,1.0,0.25,395.0,99.75
