,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
netbandwidth_low,0.0,0.0,0.0,0.0,258.0,100.0
cpu_medium,0.0,0.0,0.0,0.0,258.0,100.0
cpu_high,0.0,0.0,0.0,0.0,258.0,100.0
io_high,1.0,0.39,0.0,0.0,257.0,99.61
netbandwidth_high,0.0,0.0,0.0,0.0,258.0,100.0
io_low,2.0,0.78,0.0,0.0,256.0,99.22
netbandwidth_medium,0.0,0.0,0.0,0.0,258.0,100.0
netdelay_high,0.0,0.0,0.0,0.0,258.0,100.0
cpu_low,0.0,0.0,0.0,0.0,258.0,100.0
io_medium,1.0,0.39,0.0,0.0,257.0,99.61
netdelay_medium,0.0,0.0,0.0,0.0,258.0,100.0
netpgk_low,0.0,0.0,0.0,0.0,258.0,100.0
netdelay_low,0.0,0.0,0.0,0.0,258.0,100.0
ram_low,0.0,0.0,0.0,0.0,258.0,100.0
ram_high,0.0,0.0,0.0,0.0,258.0,100.0
netpgk_medium,0.0,0.0,0.0,0.0,258.0,100.0
ram_medium,0.0,0.0,0.0,0.0,258.0,100.0
netpgk_high,0.0,0.0,0.0,0.0,258.0,100.0
