,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
io_medium,1.0,0.98,0.0,0.0,101.0,99.02
netbandwidth_high,0.0,0.0,0.0,0.0,102.0,100.0
io_low,1.0,0.98,0.0,0.0,101.0,99.02
netbandwidth_low,0.0,0.0,0.0,0.0,102.0,100.0
cpu_high,1.0,0.98,0.0,0.0,101.0,99.02
netdelay_high,0.0,0.0,0.0,0.0,102.0,100.0
cpu_low,3.0,2.94,0.0,0.0,99.0,97.06
io_high,3.0,2.94,0.0,0.0,99.0,97.06
cpu_medium,0.0,0.0,0.0,0.0,102.0,100.0
netbandwidth_medium,0.0,0.0,0.0,0.0,102.0,100.0
netpgk_high,0.0,0.0,0.0,0.0,102.0,100.0
ram_low,2.0,1.96,0.0,0.0,100.0,98.04
netdelay_medium,0.0,0.0,0.0,0.0,102.0,100.0
ram_medium,0.0,0.0,0.0,0.0,102.0,100.0
ram_high,1.0,0.98,0.0,0.0,101.0,99.02
netpgk_low,0.0,0.0,0.0,0.0,102.0,100.0
netdelay_low,0.0,0.0,0.0,0.0,102.0,100.0
netpgk_medium,0.0,0.0,0.0,0.0,102.0,100.0
