,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
cpu_high,0.0,0.0,3.0,0.64,464.0,99.36
cpu_low,0.0,0.0,3.0,0.64,464.0,99.36
io_high,1.0,0.21,3.0,0.64,463.0,99.14
netbandwidth_low,1.0,0.21,3.0,0.64,463.0,99.14
netdelay_low,1.0,0.21,3.0,0.64,463.0,99.14
io_medium,1.0,0.21,2.0,0.43,464.0,99.36
netdelay_high,201.0,43.04,2.0,0.43,264.0,56.53
io_low,1.0,0.21,3.0,0.64,463.0,99.14
netbandwidth_medium,0.0,0.0,3.0,0.64,464.0,99.36
cpu_medium,1.0,0.21,2.0,0.43,464.0,99.36
netbandwidth_high,0.0,0.0,3.0,0.64,464.0,99.36
netdelay_medium,2.0,0.43,3.0,0.64,462.0,98.93
ram_medium,2.0,0.43,2.0,0.43,463.0,99.14
ram_high,0.0,0.0,3.0,0.64,464.0,99.36
netpgk_medium,3.0,0.64,3.0,0.64,461.0,98.72
netpgk_low,3.0,0.64,1.0,0.21,463.0,99.14
netpgk_high,115.0,24.63,2.0,0.43,350.0,74.95
ram_low,1.0,0.21,2.0,0.43,464.0,99.36
