,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
netbandwidth_low,32.0,14.1,93.0,40.97,102.0,44.93
netbandwidth_high,19.0,8.37,108.0,47.58,100.0,44.05
io_high,25.0,11.01,101.0,44.49,101.0,44.49
cpu_low,68.0,29.96,63.0,27.75,96.0,42.29
cpu_medium,100.0,44.05,20.0,8.81,107.0,47.14
io_medium,58.0,25.55,65.0,28.63,104.0,45.81
io_low,42.0,18.5,88.0,38.77,97.0,42.73
netbandwidth_medium,13.0,5.73,108.0,47.58,106.0,46.7
cpu_high,77.0,33.92,46.0,20.26,104.0,45.81
netdelay_high,16.0,7.05,111.0,48.9,100.0,44.05
netdelay_medium,24.0,10.57,98.0,43.17,105.0,46.26
netdelay_low,39.0,17.18,85.0,37.44,103.0,45.37
netpgk_medium,14.0,6.17,112.0,49.34,101.0,44.49
netpgk_low,16.0,7.05,107.0,47.14,104.0,45.81
ram_high,16.0,7.05,107.0,47.14,104.0,45.81
ram_medium,54.0,23.79,69.0,30.4,104.0,45.81
netpgk_high,22.0,9.69,104.0,45.81,101.0,44.49
ram_low,72.0,31.72,56.0,24.67,99.0,43.61
