,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
cpu_medium,1.0,9.09,0.0,0.0,10.0,90.91
io_low,1.0,9.09,0.0,0.0,10.0,90.91
io_high,1.0,9.09,0.0,0.0,10.0,90.91
netbandwidth_high,1.0,9.09,0.0,0.0,10.0,90.91
netbandwidth_low,0.0,0.0,0.0,0.0,11.0,100.0
cpu_low,1.0,9.09,0.0,0.0,10.0,90.91
netdelay_high,1.0,9.09,0.0,0.0,10.0,90.91
io_medium,1.0,9.09,0.0,0.0,10.0,90.91
netbandwidth_medium,1.0,9.09,0.0,0.0,10.0,90.91
cpu_high,1.0,9.09,0.0,0.0,10.0,90.91
ram_medium,1.0,9.09,0.0,0.0,10.0,90.91
ram_low,1.0,9.09,0.0,0.0,10.0,90.91
netdelay_medium,1.0,9.09,0.0,0.0,10.0,90.91
ram_high,1.0,9.09,0.0,0.0,10.0,90.91
netdelay_low,1.0,9.09,0.0,0.0,10.0,90.91
netpgk_medium,1.0,9.09,0.0,0.0,10.0,90.91
netpgk_low,1.0,9.09,0.0,0.0,10.0,90.91
netpgk_high,1.0,9.09,0.0,0.0,10.0,90.91
