,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
cpu_low,0.0,0.0,0.0,0.0,85.0,100.0
io_high,0.0,0.0,0.0,0.0,85.0,100.0
io_medium,0.0,0.0,0.0,0.0,85.0,100.0
netbandwidth_low,0.0,0.0,0.0,0.0,85.0,100.0
cpu_high,1.0,1.18,0.0,0.0,84.0,98.82
netbandwidth_medium,0.0,0.0,0.0,0.0,85.0,100.0
netbandwidth_high,0.0,0.0,0.0,0.0,85.0,100.0
netdelay_high,0.0,0.0,0.0,0.0,85.0,100.0
io_low,0.0,0.0,0.0,0.0,85.0,100.0
cpu_medium,0.0,0.0,0.0,0.0,85.0,100.0
netpgk_high,0.0,0.0,0.0,0.0,85.0,100.0
netpgk_medium,0.0,0.0,0.0,0.0,85.0,100.0
ram_medium,1.0,1.18,0.0,0.0,84.0,98.82
netdelay_medium,0.0,0.0,0.0,0.0,85.0,100.0
netpgk_low,0.0,0.0,0.0,0.0,85.0,100.0
ram_low,0.0,0.0,0.0,0.0,85.0,100.0
ram_high,0.0,0.0,0.0,0.0,85.0,100.0
netdelay_low,0.0,0.0,0.0,0.0,85.0,100.0
