,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
netbandwidth_high,0.0,0.0,1.0,4.0,24.0,96.0
netbandwidth_low,0.0,0.0,1.0,4.0,24.0,96.0
cpu_low,1.0,4.0,0.0,0.0,24.0,96.0
io_medium,1.0,4.0,0.0,0.0,24.0,96.0
netdelay_high,4.0,16.0,0.0,0.0,21.0,84.0
io_high,0.0,0.0,1.0,4.0,24.0,96.0
io_low,1.0,4.0,0.0,0.0,24.0,96.0
netbandwidth_medium,1.0,4.0,0.0,0.0,24.0,96.0
cpu_high,1.0,4.0,0.0,0.0,24.0,96.0
cpu_medium,1.0,4.0,0.0,0.0,24.0,96.0
ram_medium,0.0,0.0,1.0,4.0,24.0,96.0
ram_low,1.0,4.0,0.0,0.0,24.0,96.0
netpgk_low,2.0,8.0,1.0,4.0,22.0,88.0
netpgk_high,4.0,16.0,0.0,0.0,21.0,84.0
netdelay_medium,2.0,8.0,1.0,4.0,22.0,88.0
netpgk_medium,2.0,8.0,1.0,4.0,22.0,88.0
netdelay_low,2.0,8.0,1.0,4.0,22.0,88.0
ram_high,1.0,4.0,0.0,0.0,24.0,96.0
