,positive,ratio_positive,negative,ratio_negative,zero,ratio_zero
io_medium,2.0,20.0,0.0,0.0,8.0,80.0
netdelay_high,2.0,20.0,1.0,10.0,7.0,70.0
cpu_high,1.0,10.0,0.0,0.0,9.0,90.0
io_low,0.0,0.0,1.0,10.0,9.0,90.0
cpu_medium,1.0,10.0,0.0,0.0,9.0,90.0
cpu_low,2.0,20.0,0.0,0.0,8.0,80.0
netbandwidth_high,1.0,10.0,1.0,10.0,8.0,80.0
io_high,2.0,20.0,0.0,0.0,8.0,80.0
netbandwidth_medium,0.0,0.0,1.0,10.0,9.0,90.0
netbandwidth_low,0.0,0.0,1.0,10.0,9.0,90.0
ram_medium,0.0,0.0,1.0,10.0,9.0,90.0
netpgk_medium,2.0,20.0,1.0,10.0,7.0,70.0
ram_high,1.0,10.0,1.0,10.0,8.0,80.0
ram_low,2.0,20.0,0.0,0.0,8.0,80.0
netdelay_medium,2.0,20.0,1.0,10.0,7.0,70.0
netdelay_low,2.0,20.0,0.0,0.0,8.0,80.0
netpgk_low,2.0,20.0,1.0,10.0,7.0,70.0
netpgk_high,2.0,20.0,1.0,10.0,7.0,70.0
